userId,movieId,score
1,1,5
1,2,4.5
1,3,4
1,4,4.5
1,6,4.5
1,8,4
1,10,4
1,12,4.5
1,13,4
1,14,4.5
1,16,4.5
1,18,4
1,20,3.5
1,22,4.5
1,23,5
1,24,4
1,25,4
1,26,4
1,27,4
1,28,3.5
1,29,3.5
1,33,3.5
1,37,3
1,40,3
1,47,3
1,54,4
1,55,3
1,59,1.5
1,60,2.5
1,61,1
1,66,2.5
1,67,2
1,68,2
1,69,2
1,70,2.5
1,71,3.5
1,72,3.5
1,76,5
1,78,3.5
1,79,4
1,80,4.5
1,81,3
1,84,3.5
1,87,4
1,88,5
1,89,4
1,93,4
2,1,4.5
2,2,3.5
2,3,5
2,5,5
2,6,4.5
2,7,4
2,8,4.5
2,9,5
2,11,5
2,13,4.5
2,15,4.5
2,16,5
2,17,4.5
2,19,4.5
2,21,5
2,23,3.5
2,26,3.5
2,27,3
2,29,5
2,30,4.5
2,31,4
2,32,4
2,33,4
2,34,4.5
2,35,4
2,36,4.5
2,39,3
2,41,2.5
2,43,1.5
2,51,3
2,52,3.5
2,54,3.5
2,67,3
2,73,3
2,75,4.5
2,76,4.5
2,77,4.5
2,79,3.5
2,80,3.5
2,83,2
2,85,1.5
2,86,3.5
2,87,4.5
2,88,5
2,89,5
2,92,2
2,93,5
2,94,4.5
2,95,4
2,96,5
2,98,5
3,1,2
3,4,3.5
3,5,4
3,6,3
3,9,3
3,14,2
3,15,2
3,21,1.5
3,23,4
3,25,3
3,26,3
3,29,3.5
3,30,3.5
3,32,2.5
3,33,3.5
3,34,3.5
3,35,3
3,36,3.5
3,40,2
3,41,2
3,42,1
3,43,2.5
3,45,1.5
3,46,1
3,49,3
3,50,3
3,52,3
3,53,3
3,54,4.5
3,55,4.5
3,56,3.5
3,57,4
3,58,3.5
3,59,4
3,60,4.5
3,61,4.5
3,62,4.5
3,63,3.5
3,64,4
3,65,4
3,66,2.5
3,69,3
3,74,3
3,75,4
3,76,2.5
3,77,2.5
3,78,3
3,82,4.5
3,83,4.5
3,85,2
3,86,2.5
3,87,2
3,90,2.5
3,94,3.5
3,95,3
3,99,3
4,1,4.5
4,2,3.5
4,3,4
4,8,3
4,9,3
4,10,2.5
4,11,4.5
4,12,4
4,18,4.5
4,19,4.5
4,20,4.5
4,21,4.5
4,27,3
4,28,2.5
4,30,3.5
4,31,3.5
4,35,3.5
4,36,3.5
4,37,3.5
4,39,3
4,41,4
4,42,4
4,43,4
4,44,4
4,45,4
4,46,4
4,47,4
4,48,4
4,49,4
4,50,4.5
4,51,3.5
4,52,4.5
4,53,4
4,54,3
4,57,3
4,60,3.5
4,62,1.5
4,63,2.5
4,66,1.5
4,67,2.5
4,68,2
4,69,1.5
4,70,2
4,74,2.5
4,75,3.5
4,81,4
4,82,3
4,85,4
4,88,4
4,89,4
4,90,4
4,91,4.5
4,92,4
4,98,3
4,99,2.5
4,100,3
5,2,3
5,4,4
5,5,5
5,6,4
5,8,4
5,9,4.5
5,14,4
5,20,3
5,23,2.5
5,24,4
5,25,3.5
5,26,4
5,27,4
5,28,4.5
5,29,4
5,30,4.5
5,33,4.5
5,34,4.5
5,35,4
5,36,5
5,45,2
5,47,2.5
5,54,3
5,56,3
5,59,3
5,63,3.5
5,67,3
5,69,3
5,77,3.5
5,79,3
5,82,3
5,84,3
5,90,2
5,91,2.5
5,93,4.5
5,94,5
5,98,4
6,2,3.5
6,6,3.5
6,7,3.5
6,9,3
6,10,4.5
6,14,4
6,15,3.5
6,17,2.5
6,20,2.5
6,23,3.5
6,24,3.5
6,30,1.5
6,32,2
6,33,3
6,36,1
6,37,4
6,38,5
6,39,3.5
6,41,3.5
6,42,4.5
6,43,4
6,44,4
6,45,4.5
6,47,3
6,52,3
6,57,3
6,61,3
6,62,2.5
6,63,3
6,68,2
6,69,2
6,70,1.5
6,71,3.5
6,73,3.5
6,74,4.5
6,81,3.5
6,82,2.5
6,84,4
6,86,4
