userId,movieId,score
1,1,5
1,2,4.5
1,3,4
1,4,4.5
1,6,4.5
1,8,4
1,10,4
1,12,4.5
1,13,4
1,14,4.5
1,16,4.5
1,18,4
1,20,3.5
1,22,4.5
1,23,5
1,24,4
1,25,4
1,26,4
1,27,4
1,28,3.5
1,29,3.5
1,33,3.5
1,37,3
1,40,3
1,47,3
1,54,4
1,55,3
1,59,1.5
1,60,2.5
1,61,1
1,66,2.5
1,67,2
1,68,2
1,69,2
1,70,2.5
1,71,3.5
1,72,3.5
1,76,5
1,78,3.5
1,79,4
1,80,4.5
1,81,3
1,84,3.5
1,87,4
1,88,5
1,89,4
1,93,4
1,103,3.5
1,111,2.5
1,121,3.5
1,127,3.5
1,133,3
1,144,2.5
1,150,3
1,170,3.5
1,182,2.5
1,208,3
1,229,2.5
1,265,4
1,270,3
1,272,3
1,312,3
1,334,2
1,350,3
1,386,1
1,393,3
1,402,3.5
1,415,2.5
1,429,2.5
1,432,4
1,472,3
1,488,3.5
1,490,2
1,502,2
1,544,4
1,559,3.5
1,599,2.5
1,652,4.5
1,663,3
1,693,3
1,697,4.5
1,703,2.5
1,720,2
1,722,2.5
1,723,3
1,732,2
1,735,2.5
1,741,4
1,763,3
1,772,2.5
1,801,3.5
1,819,4
2,1,4.5
2,2,3.5
2,3,5
2,5,5
2,6,4.5
2,7,4
2,8,4.5
2,9,5
2,11,5
2,13,4.5
2,15,4.5
2,16,5
2,17,4.5
2,19,4.5
2,21,5
2,23,3.5
2,26,3.5
2,27,3
2,29,5
2,30,4.5
2,31,4
2,32,4
2,33,4
2,34,4.5
2,35,4
2,36,4.5
2,39,3
2,41,2.5
2,43,1.5
2,51,3
2,52,3.5
2,54,3.5
2,67,3
2,73,3
2,75,4.5
2,76,4.5
2,77,4.5
2,79,3.5
2,80,3.5
2,83,2
2,85,1.5
2,86,3.5
2,87,4.5
2,88,5
2,89,5
2,92,2
2,93,5
2,94,4.5
2,95,4
2,96,5
2,98,5
2,109,3.5
2,124,3.5
2,148,3
2,169,4
2,171,2.5
2,185,3.5
2,196,2.5
2,204,4
2,219,3
2,220,3.5
2,243,4.5
2,271,4
2,325,4.5
2,350,2.5
2,383,4
2,399,4
2,424,2.5
2,444,4.5
2,507,4
2,541,3
2,567,2.5
2,609,3.5
2,710,4.5
2,715,4
2,718,3
2,720,2.5
2,726,3
2,727,2
2,732,3.5
2,743,4
2,746,3.5
2,756,4
2,764,4
2,770,3.5
2,789,4
2,815,3
2,826,4
2,831,4
2,850,3.5
2,859,4
2,862,3.5
2,887,3.5
2,916,3
2,917,3.5
3,1,2
3,4,3.5
3,5,4
3,6,3
3,9,3
3,14,2
3,15,2
3,21,1.5
3,23,4
3,25,3
3,26,3
3,29,3.5
3,30,3.5
3,32,2.5
3,33,3.5
3,34,3.5
3,35,3
3,36,3.5
3,40,2
3,41,2
3,42,1
3,43,2.5
3,45,1.5
3,46,1
3,49,3
3,50,3
3,52,3
3,53,3
3,54,4.5
3,55,4.5
3,56,3.5
3,57,4
3,58,3.5
3,59,4
3,60,4.5
3,61,4.5
3,62,4.5
3,63,3.5
3,64,4
3,65,4
3,66,2.5
3,69,3
3,74,3
3,75,4
3,76,2.5
3,77,2.5
3,78,3
3,82,4.5
3,83,4.5
3,85,2
3,86,2.5
3,87,2
3,90,2.5
3,94,3.5
3,95,3
3,99,3
3,101,4
3,109,3
3,128,3
3,144,3.5
3,146,5
3,165,3
3,202,2.5
3,224,3
3,234,2
3,241,4.5
3,244,3.5
3,272,3.5
3,287,4.5
3,310,3.5
3,316,3.5
3,334,2.5
3,360,2.5
3,369,5
3,373,4
3,385,3
3,408,3
3,434,2.5
3,465,3.5
3,475,3.5
3,507,4.5
3,529,4
3,532,4.5
3,538,3.5
3,572,3.5
3,591,4
3,602,3.5
3,611,4.5
3,622,4
3,638,3
3,646,3.5
3,663,3
3,685,4
3,691,4.5
3,732,2.5
3,736,4.5
3,753,5
